Method;Neurons;Threshold;VWSC;Time;Simplicity;Precision;Generalization;
PrefixTree;-1;-1;-1;0.0228955;0.258065;1;0.269876;
FreqRed;-1;0.2;0.05;0.010388;0.32;1;0.496447;
FreqRed;-1;0.2;0.1;0.00748579;0.32;1;0.496447;
FreqRed;-1;0.2;0.15;0.0113102;0.32;1;0.494006;
FreqRed;-1;0.2;0.2;0.00830373;0.32;1;0.494006;
FreqRed;-1;0.2;0.25;0.00835386;0.32;1;0.494006;
FreqRed;-1;0.2;0.3;0.0103754;0.32;1;0.494006;
FreqRed;-1;0.2;0.35;0.00900718;0.32;1;0.494006;
FreqRed;-1;0.2;0.4;0.00830096;0.32;1;0.494006;
FreqRed;-1;0.2;0.45;0.00769777;0.32;1;0.494006;
FreqRed;-1;0.2;0.5;0.00950261;0.32;1;0.494006;
FreqRed;-1;0.2;0.55;0.0122671;0.32;1;0.494006;
FreqRed;-1;0.2;0.6;0.00901587;0.32;1;0.494006;
FreqRed;-1;0.2;0.65;0.0116821;0.32;1;0.494006;
FreqRed;-1;0.2;0.7;0.00973038;0.296296;1;0.430308;
FreqRed;-1;0.2;0.75;0.0125103;0.296296;1;0.441121;
FreqRed;-1;0.2;0.8;0.0121506;0.296296;1;0.430308;
FreqRed;-1;0.2;0.85;0.00836018;0.296296;1;0.425909;
FreqRed;-1;0.2;0.9;0.0122766;0.296296;1;0.425909;
FreqRed;-1;0.2;0.95;0.0105254;0.296296;1;0.425909;
FreqRed;-1;0.3;0.05;0.0105578;0.32;1;0.496447;
FreqRed;-1;0.3;0.1;0.00775304;0.32;1;0.496447;
FreqRed;-1;0.3;0.15;0.0131794;0.32;1;0.496447;
FreqRed;-1;0.3;0.2;0.00936997;0.32;1;0.498469;
FreqRed;-1;0.3;0.25;0.0118009;0.32;1;0.498469;
FreqRed;-1;0.3;0.3;0.0120338;0.32;1;0.494006;
FreqRed;-1;0.3;0.35;0.0100991;0.32;1;0.494006;
FreqRed;-1;0.3;0.4;0.0121913;0.32;1;0.498469;
FreqRed;-1;0.3;0.45;0.0125095;0.32;1;0.496447;
FreqRed;-1;0.3;0.5;0.0121767;0.32;1;0.498469;
FreqRed;-1;0.3;0.55;0.00902653;0.32;1;0.496447;
FreqRed;-1;0.3;0.6;0.00963169;0.32;1;0.500179;
FreqRed;-1;0.3;0.65;0.0128336;0.32;1;0.494006;
FreqRed;-1;0.3;0.7;0.0095859;0.296296;1;0.430308;
FreqRed;-1;0.3;0.75;0.0121048;0.296296;1;0.436722;
FreqRed;-1;0.3;0.8;0.0091639;0.296296;1;0.444368;
FreqRed;-1;0.3;0.85;0.0118009;0.296296;1;0.425909;
FreqRed;-1;0.3;0.9;0.00969288;0.296296;1;0.444368;
FreqRed;-1;0.3;0.95;0.00860927;0.296296;1;0.436722;
FreqRed;-1;0.4;0.05;0.0125592;0.421053;0.903571;0.598477;
FreqRed;-1;0.4;0.1;0.0118676;0.421053;0.903571;0.60562;
FreqRed;-1;0.4;0.15;0.0123733;0.4;0.919643;0.609139;
FreqRed;-1;0.4;0.2;0.0104938;0.4;0.917969;0.579729;
FreqRed;-1;0.4;0.25;0.0123887;0.380952;0.933333;0.601484;
FreqRed;-1;0.4;0.3;0.00871862;0.363636;0.94375;0.591574;
FreqRed;-1;0.4;0.35;0.0118258;0.347826;0.911111;0.532398;
FreqRed;-1;0.4;0.4;0.0123985;0.347826;0.911111;0.529942;
FreqRed;-1;0.4;0.45;0.0103584;0.347826;0.911111;0.553109;
FreqRed;-1;0.4;0.5;0.0123074;0.347826;0.911111;0.541574;
FreqRed;-1;0.4;0.55;0.0103683;0.347826;0.911111;0.541574;
FreqRed;-1;0.4;0.6;0.0122316;0.347826;0.911111;0.554549;
FreqRed;-1;0.4;0.65;0.0112778;0.333333;0.939394;0.515389;
FreqRed;-1;0.4;0.7;0.0142539;0.347826;0.922222;0.540705;
FreqRed;-1;0.4;0.75;0.0137822;0.333333;0.939394;0.534217;
FreqRed;-1;0.4;0.8;0.0130183;0.363636;0.888889;0.578435;
FreqRed;-1;0.4;0.85;0.0160023;0.363636;0.888889;0.57257;
FreqRed;-1;0.4;0.9;0.00997316;0.363636;0.888889;0.576735;
FreqRed;-1;0.4;0.95;0.0121187;0.363636;0.888889;0.554681;
FreqRed;-1;0.5;0.05;0.00810556;0.421053;0.903571;0.601418;
FreqRed;-1;0.5;0.1;0.00938181;0.421053;0.903571;0.601418;
FreqRed;-1;0.5;0.15;0.0104879;0.421053;0.903571;0.60052;
FreqRed;-1;0.5;0.2;0.00880033;0.421053;0.903571;0.598477;
FreqRed;-1;0.5;0.25;0.00854453;0.4;0.919643;0.576499;
FreqRed;-1;0.5;0.3;0.0104954;0.380952;0.933333;0.552046;
FreqRed;-1;0.5;0.35;0.00921759;0.347826;0.911111;0.541574;
FreqRed;-1;0.5;0.4;0.01521;0.347826;0.911111;0.523223;
FreqRed;-1;0.5;0.45;0.0142646;0.347826;0.911111;0.537868;
FreqRed;-1;0.5;0.5;0.0122016;0.347826;0.911111;0.532398;
FreqRed;-1;0.5;0.55;0.0114574;0.347826;0.911111;0.562284;
FreqRed;-1;0.5;0.6;0.0123883;0.347826;0.911111;0.541478;
FreqRed;-1;0.5;0.65;0.0126074;0.347826;0.911111;0.547043;
FreqRed;-1;0.5;0.7;0.0121913;0.333333;0.929293;0.510625;
FreqRed;-1;0.5;0.75;0.0136306;0.363636;0.888889;0.578435;
FreqRed;-1;0.5;0.8;0.0106411;0.333333;0.929293;0.506347;
FreqRed;-1;0.5;0.85;0.011178;0.363636;0.888889;0.578435;
FreqRed;-1;0.5;0.9;0.0142618;0.347826;0.9;0.536867;
FreqRed;-1;0.5;0.95;0.00875414;0.363636;0.888889;0.583394;
FreqRed;-1;0.6;0.05;0.0100004;0.666667;0.823077;0.693168;
FreqRed;-1;0.6;0.1;0.0109348;0.666667;0.823077;0.686722;
FreqRed;-1;0.6;0.15;0.0100817;0.666667;0.823077;0.69196;
FreqRed;-1;0.6;0.2;0.00959893;0.470588;0.741667;0.653541;
FreqRed;-1;0.6;0.25;0.0120425;0.444444;0.779762;0.641596;
FreqRed;-1;0.6;0.3;0.0107291;0.421053;0.784524;0.656179;
FreqRed;-1;0.6;0.35;0.0132489;0.380952;0.804012;0.584271;
FreqRed;-1;0.6;0.4;0.0124309;0.380952;0.791667;0.580048;
FreqRed;-1;0.6;0.45;0.0156332;0.363636;0.833333;0.60306;
FreqRed;-1;0.6;0.5;0.0167204;0.380952;0.804012;0.552664;
FreqRed;-1;0.6;0.55;0.0157354;0.32;0.8;0.585508;
FreqRed;-1;0.6;0.6;0.0123338;0.363636;0.833333;0.598373;
FreqRed;-1;0.6;0.65;0.0117286;0.363636;0.833333;0.582295;
FreqRed;-1;0.6;0.7;0.0153075;0.32;0.777778;0.593147;
FreqRed;-1;0.6;0.75;0.0126184;0.363636;0.796296;0.600543;
FreqRed;-1;0.6;0.8;0.0144809;0.363636;0.796296;0.570035;
FreqRed;-1;0.6;0.85;0.0136341;0.363636;0.796296;0.608461;
FreqRed;-1;0.6;0.9;0.0151015;0.347826;0.838889;0.541574;
FreqRed;-1;0.6;0.95;0.0122821;0.363636;0.796296;0.594902;
FreqRed;-1;0.7;0.05;0.00940984;0.666667;0.823077;0.689934;
FreqRed;-1;0.7;0.1;0.00950182;0.666667;0.823077;0.687589;
FreqRed;-1;0.7;0.15;0.0120551;0.533333;0.79;0.698645;
FreqRed;-1;0.7;0.2;0.0143613;0.444444;0.78125;0.613873;
FreqRed;-1;0.7;0.25;0.0139278;0.470588;0.741667;0.651998;
FreqRed;-1;0.7;0.3;0.0136799;0.470588;0.741667;0.682208;
FreqRed;-1;0.7;0.35;0.012078;0.380952;0.791667;0.581558;
FreqRed;-1;0.7;0.4;0.015133;0.363636;0.820988;0.585913;
FreqRed;-1;0.7;0.45;0.0160426;0.380952;0.804012;0.588568;
FreqRed;-1;0.7;0.5;0.0142725;0.380952;0.804012;0.549284;
FreqRed;-1;0.7;0.55;0.0119217;0.363636;0.833333;0.577336;
FreqRed;-1;0.7;0.6;0.0125655;0.363636;0.833333;0.55227;
FreqRed;-1;0.7;0.65;0.0156506;0.363636;0.833333;0.578737;
FreqRed;-1;0.7;0.7;0.0162711;0.32;0.777778;0.567754;
FreqRed;-1;0.7;0.75;0.0117409;0.363636;0.796296;0.609361;
FreqRed;-1;0.7;0.8;0.0137482;0.363636;0.796296;0.558093;
FreqRed;-1;0.7;0.85;0.0184766;0.363636;0.796296;0.592189;
FreqRed;-1;0.7;0.9;0.0184833;0.363636;0.796296;0.602596;
FreqRed;-1;0.7;0.95;0.0131194;0.363636;0.796296;0.611174;
FreqRed;-1;0.8;0.05;0.0100979;0.666667;0.823077;0.691316;
FreqRed;-1;0.8;0.1;0.0091118;0.666667;0.823077;0.687589;
FreqRed;-1;0.8;0.15;0.0132879;0.533333;0.748889;0.692336;
FreqRed;-1;0.8;0.2;0.00928865;0.470588;0.741667;0.682208;
FreqRed;-1;0.8;0.25;0.00938852;0.470588;0.741667;0.645552;
FreqRed;-1;0.8;0.3;0.0133428;0.421053;0.714002;0.670931;
FreqRed;-1;0.8;0.35;0.012082;0.363636;0.833333;0.577336;
FreqRed;-1;0.8;0.4;0.0170054;0.363636;0.833333;0.588372;
FreqRed;-1;0.8;0.45;0.0137399;0.363636;0.833333;0.580048;
FreqRed;-1;0.8;0.5;0.0127025;0.380952;0.804012;0.582885;
FreqRed;-1;0.8;0.55;0.0139199;0.363636;0.820988;0.575718;
FreqRed;-1;0.8;0.6;0.0146771;0.363636;0.833333;0.592653;
FreqRed;-1;0.8;0.65;0.0133468;0.363636;0.820988;0.549558;
FreqRed;-1;0.8;0.7;0.0139882;0.363636;0.796296;0.596001;
FreqRed;-1;0.8;0.75;0.0149909;0.347826;0.827778;0.543109;
FreqRed;-1;0.8;0.8;0.0138864;0.363636;0.796296;0.603695;
FreqRed;-1;0.8;0.85;0.0138291;0.363636;0.796296;0.559646;
FreqRed;-1;0.8;0.9;0.0171396;0.363636;0.796296;0.590153;
FreqRed;-1;0.8;0.95;0.0159083;0.363636;0.796296;0.582959;
RNN;5;-1;-1;39.749;0.4;0.828125;0.955806;
RNN;10;-1;-1;214.671;0.4;0.871875;0.955806;
RNN;15;-1;-1;46.8599;0.333333;0.959596;0.967859;
RNN;20;-1;-1;39.8082;0.32;0.962963;0.970537;
RNN;32;-1;-1;271.993;0.333333;0.96875;0.970537;
RNN;64;-1;-1;462.261;0.266667;1;0.97643;
